customerID,gender,age_first_order,user_agent_brand,user_agent_os,ip_address_country,ip_address_geopoint,campaign,pages_visited_avg,high_revenue
007494,F,43,Firefox,Windows,United States,POINT(-73.968 40.7588),False,11.5,False
014834,M,48,Chrome,Windows,Peru,POINT(-77.0886 -12.0678),False,9.5,False
024982,F,65,Firefox,Windows,France,POINT(1.9208 48.7501),False,15.0,False
032754,F,52,Chrome,Windows,China,POINT(108.3167 22.8167),True,9.0,False
040557,M,59,Chrome,Windows,China,POINT(109.8222 40.6522),False,15.0,False
049591,F,72,Chrome,MacOS X,Ireland,POINT(-6.2439 53.3472),False,11.0,False
058152,F,43,Edge,Windows,United States,POINT(-87.8945 43.0434),False,11.5,False
067039,M,27,Firefox,Windows,Republic of Korea,POINT(126.9741 37.5112),True,12.333333333333334,False
074702,M,43,Chrome,MacOS X,United States,POINT(-97.3478 32.9749),True,9.666666666666666,False
082665,M,17,Chrome,MacOS X,United States,POINT(-110.3607 31.5273),False,12.0,False
090266,,,Chrome,Windows,Czechia,POINT(14.4667 50.0833),True,8.428571428571429,True
099664,F,27,Chrome,Windows,China,POINT(113.25 23.1167),False,13.0,False
0pykn3,M,53,Chrome,MacOS X,South Africa,POINT(28.2294 -25.7069),False,17.5,False
104603,M,48,Chrome,Windows,United States,POINT(-84.1789 39.7405),False,11.5,False
111241,F,,Chrome,Windows,United States,POINT(-93.8397 45.1845),False,10.5,False
120957,M,,Firefox,Windows,United States,POINT(-105.2037 40.0507),False,18.0,False
131072,F,47,Chrome,Windows,France,POINT(2.4991 48.8702),False,10.0,False
139844,F,37,Chrome,MacOS X,Australia,POINT(143.2104 -33.494),False,15.0,False
146365,M,29,Chrome,Windows,Taiwan,POINT(121.4966 25.0418),False,17.0,False
155726,M,67,Chrome,MacOS X,United States,POINT(-97.822 37.751),True,9.25,False
164175,F,18,Chrome,Windows,United States,POINT(-75.6684 39.7351),False,14.5,False
172505,M,23,Chrome,Windows,China,POINT(116.3883 39.9289),True,11.666666666666666,False
179914,M,69,Chrome,Windows,United States,POINT(-123.1147 45.5486),False,11.666666666666666,False
186535,F,49,Chrome,MacOS X,Germany,POINT(9.611 52.4353),True,8.5,False
193056,M,44,Chrome,Windows,United States,POINT(-95.7409 29.9607),True,14.0,False
1eed8r,F,60,Safari,MacOS X,South Africa,POINT(28.0583 -26.2309),False,6.5,False
200999,F,,Chrome,Windows,United States,POINT(-77.4728 39.0481),True,9.0,False
209658,F,26,Chrome,Windows,Brazil,POINT(-47.8413 -15.7772),False,12.0,False
217942,M,33,Chrome,Windows,China,POINT(120.1614 30.2936),False,13.5,False
224929,F,57,Chrome,Linux,Japan,POINT(139.7677 35.6427),False,10.5,False
232941,F,16,Firefox,Windows,Japan,POINT(139.69 35.69),False,11.0,False
241335,M,75,Firefox,Windows,United States,POINT(-97.822 37.751),False,12.0,False
249636,M,52,Chrome,Windows,United States,POINT(-97.822 37.751),True,9.8,False
259288,,39,Chrome,MacOS X,Belgium,POINT(4.35 50.85),True,10.666666666666666,True
267514,F,65,Chrome,Windows,United States,POINT(-110.3607 31.5273),False,21.0,False
275285,M,23,Chrome,Windows,United States,POINT(-117.0431 34.0336),True,14.5,False
282655,F,18,Firefox,Windows,United States,POINT(-80.624 28.0718),True,13.0,False
291490,M,51,Firefox,Linux,United States,POINT(-74.006 40.7143),False,11.5,False
298613,,57,Chrome,MacOS X,Czechia,POINT(14.4667 50.0833),True,12.5,False
2y07r3,M,26,Firefox,MacOS X,,,True,8.0,False
307395,,50,Chrome,Windows,China,POINT(116.9972 36.6683),True,9.5,False
316004,M,69,Chrome,Windows,,,True,10.25,False
324835,M,53,Chrome,Linux,United States,POINT(-80.389 27.7085),False,8.0,False
333673,F,65,Edge,Windows,United States,POINT(-81.165 41.3321),False,11.666666666666666,False
342953,M,39,Firefox,Windows,Brazil,POINT(-43.2192 -22.8305),True,12.666666666666666,False
352236,F,68,Firefox,Linux,Denmark,POINT(12.0564 55.7123),False,10.5,False
358447,F,46,Chrome,MacOS X,United States,POINT(-74.2915 40.5525),False,11.0,False
365444,M,33,Safari,MacOS X,United States,POINT(-110.3607 31.5273),False,9.0,False
373012,F,48,Chrome,Windows,Netherlands,POINT(5.8105 53.2046),True,10.833333333333334,False
379819,M,20,Safari,MacOS X,Austria,POINT(14.29 48.2097),False,9.5,False
387459,F,62,Chrome,Windows,France,POINT(2.3387 48.8582),False,8.666666666666666,False
395609,F,46,Chrome,Windows,China,POINT(120.4586 41.5703),True,15.0,False
3kkiug,M,68,Chrome,MacOS X,United States,POINT(-121.8705 37.4404),False,9.0,True
402931,F,74,Chrome,Windows,Japan,POINT(139.69 35.69),False,8.0,False
410409,M,40,Chrome,Windows,Japan,POINT(139.7677 35.6427),False,10.0,False
416702,F,56,Chrome,Windows,United States,POINT(-121.8747 37.6624),False,11.75,False
426081,F,45,Safari,MacOS X,United States,POINT(-92.3205 34.7449),False,9.0,False
